location,jobs_count
Berlin,48
Hamburg,23
Munich,16
Frankfurt am Main,11
Cologne,9
Leipzig,8
"Berlin, Berlin, Germany",7
Düsseldorf,6
Münster,5
Karlsruhe,4
Stuttgart,4
Nuremberg,3
Iphofen,2
Darmstadt,2
Hanover,2
Kassel,2
Essen,2
Schorndorf,1
"Essen, North Rhine-Westphalia, Germany",1
Lietzow,1
Dresden,1
Garrel,1
Teltow,1
Düren,1
Elsdorf,1
Emstek,1
Zwickau,1
Mannheim,1
Herne,1
Koblenz,1
Friedrichshafen,1
Kiel,1
Halle (Saale),1
Regensburg,1
Siegburg,1
Rheinbach,1
Filderstadt,1
Ostfildern,1
Schweinfurt,1
Bonn,1
Bielefeld,1
Offenburg,1
Brandenburg,1
Memmingen,1
Hagen,1
Freilassing,1
Offenbach,1
Göttingen,1
Grossbeeren,1
Radolfzell,1
Trier,1
Bad Kissingen,1
Braunschweig,1
Detmold,1
Immenstaad am Bodensee,1
Garching,1
Frankenberg (Eder),1
"Munich, Bavaria, Germany",1
Offenbach am Main,1
Bingen,1
"Düsseldorf, North Rhine-Westphalia, Germany",1
"Frankfurt, Hesse, Germany",1
Erkner,1
